"GEO_ID","NAME","B14001_001E","B14001_001M","B14001_002E","B14001_002M","B14001_003E","B14001_003M","B14001_004E","B14001_004M","B14001_005E","B14001_005M","B14001_006E","B14001_006M","B14001_007E","B14001_007M","B14001_008E","B14001_008M","B14001_009E","B14001_009M","B14001_010E","B14001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Enrolled in school","Margin of Error!!Total!!Enrolled in school","Estimate!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Margin of Error!!Total!!Enrolled in school!!Enrolled in college, undergraduate years","Estimate!!Total!!Enrolled in school!!Graduate or professional school","Margin of Error!!Total!!Enrolled in school!!Graduate or professional school","Estimate!!Total!!Not enrolled in school","Margin of Error!!Total!!Not enrolled in school"
"0500000US29069","Dunklin County, Missouri","29195","136","7240","245","464","111","422","106","1759","216","1904","209","1698","107","879","180","114","49","21955","250"
"0500000US29159","Pettis County, Missouri","40821","153","10061","310","564","123","427","106","2187","224","2622","221","2370","178","1672","238","219","86","30760","334"
"0500000US29186","Ste. Genevieve County, Missouri","17394","72","4023","175","258","89","190","92","954","145","900","203","997","88","583","148","141","80","13371","195"
"0500000US29175","Randolph County, Missouri","24200","135","5995","347","612","167","292","90","1291","163","1128","161","1403","144","1084","309","185","76","18205","316"
"0500000US29071","Franklin County, Missouri","99228","265","23021","532","1532","307","1352","262","5153","376","5596","390","5460","284","3299","418","629","171","76207","534"
"0500000US29089","Howard County, Missouri","9753","57","2822","179","128","51","143","51","475","57","549","88","470","54","922","116","135","80","6931","175"
"0500000US29095","Jackson County, Missouri","664808","822","166967","1544","11026","856","8814","626","37104","917","37252","940","33416","727","29715","1189","9640","687","497841","1513"
"0500000US29131","Miller County, Missouri","24172","96","5506","278","424","142","295","110","1413","161","1238","184","1307","135","771","188","58","37","18666","263"
"0500000US29169","Pulaski County, Missouri","50184","199","15296","752","537","155","566","201","2471","313","2431","341","3103","490","5421","672","767","214","34888","741"
"0500000US29171","Putnam County, Missouri","4618","45","806","74","38","28","15","18","246","58","257","65","200","46","50","33","0","11","3812","75"
"0500000US29213","Taney County, Missouri","52974","222","12591","553","921","208","471","120","2513","280","2740","313","2555","188","3196","499","195","90","40383","538"
"0500000US29215","Texas County, Missouri","24743","77","5573","227","225","74","338","119","1502","183","1019","204","1358","128","908","169","223","153","19170","229"
"0500000US29021","Buchanan County, Missouri","85499","253","21037","637","1287","242","1044","193","4943","343","4275","293","4491","293","4250","449","747","195","64462","632"
"0500000US29025","Caldwell County, Missouri","8790","48","2069","88","92","31","81","40","532","94","552","101","511","42","238","55","63","28","6721","86"
"0500000US29027","Callaway County, Missouri","43445","234","10501","400","529","152","576","162","2193","266","1964","238","2286","229","2627","326","326","153","32944","486"
"0500000US29037","Cass County, Missouri","99304","237","24929","473","1626","283","1859","267","5846","340","5467","421","5923","245","3180","376","1028","168","74375","471"
